X, Y, Z
-0.2532775,-6.494694,-3.184213,
-0.2532775,-6.4665794,-3.1631272,
-0.26733476,-6.501723,-3.1912415,
-0.28139198,-6.501723,-3.1982703,
-0.2532775,-6.5438943,-3.1701558,
-0.28139198,-6.501723,-3.1771843,
-0.2532775,-6.5368657,-3.2123275,
-0.23922026,-6.494694,-3.184213,
-0.2532775,-6.51578,-3.1631272,
-0.2532775,-6.473608,-3.184213,
-0.28139198,-6.501723,-3.1982703,
-0.2532775,-6.529837,-3.184213,
-0.28139198,-6.5087514,-3.1771843,
-0.28842062,-6.494694,-3.1982703,
-0.29544923,-6.4806366,-3.1771843,
-0.27436337,-6.51578,-3.184213,
-0.2532775,-6.494694,-3.1631272,
-0.28139198,-6.494694,-3.1771843,
-0.2532775,-6.51578,-3.1631272,
-0.27436337,-6.51578,-3.184213,
-0.27436337,-6.51578,-3.1771843,
-0.30950648,-6.51578,-3.1631272,
-0.24624889,-6.51578,-3.219356,
-0.28842062,-6.5368657,-3.1982703,
-0.23922026,-6.51578,-3.1982703,
-0.26733476,-6.51578,-3.205299,
-0.27436337,-6.51578,-3.1631272,
-0.2532775,-6.5087514,-3.2263846,
-0.26733476,-6.529837,-3.205299,
-0.28842062,-6.501723,-3.1701558,
-0.2532775,-6.4876657,-3.1631272,
-0.28139198,-6.501723,-3.14907,
-0.2532775,-6.501723,-3.1631272,
-0.2532775,-6.51578,-3.1631272,
-0.26733476,-6.494694,-3.1771843,
-0.29544923,-6.51578,-3.1912415,
-0.23219164,-6.51578,-3.184213,
-0.28842062,-6.51578,-3.184213,
-0.26733476,-6.473608,-3.1771843,
-0.30950648,-6.494694,-3.1631272,
-0.27436337,-6.501723,-3.2123275,
-0.26733476,-6.51578,-3.205299,
-0.23219164,-6.5438943,-3.1771843,
-0.30950648,-6.51578,-3.219356,
-0.26733476,-6.4806366,-3.184213,
-0.27436337,-6.4525223,-3.1701558,
-0.28842062,-6.51578,-3.2263846,
-0.28842062,-6.494694,-3.205299,
-0.27436337,-6.5228086,-3.1771843,
-0.281392,-6.51578,-3.1631272,
-0.23922026,-6.4876657,-3.1631272,
-0.27436337,-6.459551,-3.1912415,
-0.28139198,-6.501723,-3.1771843,
0.23194453,-5.826975,-4.52668,
