X, Y, Z, Dlugosc wektora
-0.045004442,3.2533333E-4,1.0245831,1.0241076,
-0.045004442,3.2533333E-4,1.0245831,1.0236502,
-0.043486223,0.0022773333,1.0221974,1.0231245,
-0.043486223,0.0022773333,1.0221974,1.0234609,
-0.04467911,-0.0014097778,1.0254507,1.0251958,
-0.045221332,-1.08444445E-4,1.0239325,1.024827,
-0.045546666,-4.3377778E-4,1.0266435,1.0263865,
-0.045438223,-2.1688889E-4,1.0226312,1.0258492,
-0.043269332,0.0011928888,1.022631,1.0243812,
-0.044353776,-0.0017351111,1.0198115,1.0203344,
-0.04392,5.4222223E-4,1.0225227,1.0236781,
-0.04392,5.4222223E-4,1.0225227,1.0235697,
-0.04392,5.4222223E-4,1.0225227,1.0254843,
-0.044462223,-3.2533333E-4,1.0230649,1.0267438,
-0.04413689,0.0018435555,1.0264267,1.0240506,
-0.042510223,9.76E-4,1.0220889,1.0241113,
-0.042944,0.0013013333,1.0229565,1.0263824,
-0.042944,0.0013013333,1.0229565,1.0274854,
-0.044353776,3.2533333E-4,1.0214382,1.0216565,
-0.044353776,3.2533333E-4,1.0214382,1.0250118,
-0.044353776,3.2533333E-4,1.0214382,1.0249128,
-0.043811556,0.0010844445,1.023824,1.0242815,
-0.044462223,-0.0018435555,1.0239325,1.0251002,
-0.044462223,-0.0018435555,1.0239325,1.0270088,
-0.044570666,8.6755556E-4,1.0242578,1.0259489,
-0.04218489,-0.0010844445,1.0227395,1.024374,
-0.04218489,-0.0010844445,1.0227395,1.0229912,
-0.043377776,-0.0014097778,1.0236071,1.0240788,
-0.04316089,-0.002168889,1.022631,1.0236342,
-0.04316089,-0.002168889,1.022631,1.0225675,
-0.044570666,-8.6755556E-4,1.0240409,1.0247397,
-0.044570666,-8.6755556E-4,1.0240409,1.0249522,
-0.044570666,-8.6755556E-4,1.0240409,1.023731,
-0.043486223,-0.0013013333,1.0212213,1.0271417,
-0.042293333,-0.002928,1.0202453,1.0215328,
-0.043594666,0.0018435555,1.0259929,1.0275367,
-0.044787556,6.5066665E-4,1.0201368,1.02514,
-0.044570666,0.001952,1.0259929,1.0254078,
-0.042076442,-0.0018435555,1.0243663,1.0245641,
-0.046848,0.0011928888,1.020896,1.02209,
-0.046848,0.0011928888,1.020896,1.0227686,
-0.042835556,-0.0016266666,1.0202453,1.0234158,
-0.04175111,-4.3377778E-4,1.0229565,1.0248055,
-0.04175111,-4.3377778E-4,1.0229565,1.0230321,
-0.04175111,-4.3377778E-4,1.0229565,1.0266356,
-0.043594666,-5.4222223E-4,1.0266435,1.0276008,
-0.043594666,-5.4222223E-4,1.0266435,1.0200564,
-0.043052442,7.591111E-4,1.020896,1.0232117,
-0.043052442,7.591111E-4,1.020896,1.0245234,
-0.043052442,7.591111E-4,1.020896,1.0247517,
-0.043052442,7.591111E-4,1.020896,1.0223683,
-0.043052442,7.591111E-4,1.020896,1.0258718,
-0.04392,-0.0026026666,1.0219805,1.0225149,
-0.04392,-0.0026026666,1.0219805,1.0243738,
-0.04175111,0.0,1.0221974,1.0232576,
-0.04175111,0.0,1.0221974,1.0232977,
-0.04175111,0.0,1.0221974,1.0245498,
-0.045329776,-0.0017351111,1.022848,1.0242748,
-0.045329776,-0.0017351111,1.022848,1.0226773,
-0.040666666,0.0011928888,1.020137,1.0187838,
-0.040666666,0.0011928888,1.020137,1.025082,
-0.040666666,0.0011928888,1.020137,1.0251102,
-0.040666666,0.0011928888,1.020137,1.0239668,
-0.040666666,0.0011928888,1.020137,1.0236562,
-0.04413689,6.5066665E-4,1.0270773,1.0263633,
-0.043811556,-7.591111E-4,1.0234987,1.0251429,
-0.043811556,-7.591111E-4,1.0234987,1.0259092,
-0.043811556,-7.591111E-4,1.0234987,1.0256324,
-0.043811556,-7.591111E-4,1.0234987,1.0258493,
-0.04392,-0.0037955556,1.0275111,1.0252897,
-0.045004442,0.0010844445,1.0243663,1.024286,
-0.045004442,0.0010844445,1.0243663,1.0237447,
-0.047173332,-1.08444445E-4,1.021872,1.0240357,
-0.04316089,-0.0023857777,1.0217636,1.0230314,
-0.04316089,-0.0023857777,1.0217636,1.0225489,
-0.04316089,-0.0023857777,1.0217636,1.0217766,
-0.045329776,-0.0023857777,1.0234987,1.0258759,
-0.045329776,-0.0023857777,1.0234987,1.0238988,
-0.040666666,-0.0010844445,1.0246916,1.025078,
-0.04565511,5.4222223E-4,1.0231733,1.0249741,
-0.041534223,-2.1688889E-4,1.023824,1.0247111,
-0.041534223,-2.1688889E-4,1.023824,1.0259861,
-0.041534223,-2.1688889E-4,1.023824,1.023826,
